date,actual_value,expected_value,lower_bound,upper_bound
2026-01-01,51274.24537177899,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-02,54064.01430438356,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-03,45675.40607622581,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-04,40846.50824475209,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-05,50744.06833021155,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-06,52828.03844382391,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-07,52615.056362850555,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-08,50715.381666890775,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-09,54984.87895824615,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-10,44232.260465183776,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-11,40791.458177376546,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-12,53200.01274188605,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-13,54059.4276278051,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-14,53514.51708627123,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-15,51420.75840802684,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-16,54226.63678340509,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-17,45331.87570567425,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-18,39137.005659253904,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-19,53290.605271176544,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-20,53955.06668011237,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-21,52333.623872809265,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-22,50387.16341003645,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-23,56100.287204806635,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-24,44860.923466138076,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-25,39614.5049600532,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-26,52183.07980456059,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-27,54479.07826699801,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-28,52828.89965792767,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-29,51371.45935043639,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-30,55387.738902707104,49815.74273627985,36534.99890011283,63096.48657244687
2026-01-31,46927.482840783414,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-01,39634.22648525384,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-02,52038.981543835616,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-03,53267.60454457691,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-04,53054.38148031795,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-05,52016.0750634488,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-06,54897.44728811062,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-07,44243.859170733725,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-08,39257.96690587788,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-09,53085.53350904223,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-10,54668.9287540831,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-11,52988.83884147467,49815.74273627985,36534.99890011283,63096.48657244687
2026-02-12,50401.04126344017,49815.74273627985,36534.99890011283,63096.48657244687
